,Count
a stale,1
stale part,1
part anna,1
scherer on,1
the contrary,92
contrary despite,1
despite her,7
her forty,2
forty years,2
years overflowed,1
overflowed with,1
with animation,5
animation and,7
and impulsiveness,1
impulsiveness to,1
be an,19
an enthusiast,1
enthusiast had,1
had become,37
become her,2
her social,2
social vocation,1
vocation and,3
and sometimes,29
sometimes even,4
even when,5
when she,110
she did,118
not feel,14
feel like,2
like it,20
it she,36
she became,6
became enthusiastic,1
enthusiastic in,1
in order,62
order not,9
not to,251
to disappoint,3
disappoint the,1
the expectations,1
expectations of,1
of those,133
those who,156
who knew,22
knew her,4
her the,51
the subdued,3
subdued smile,1
smile which,16
which though,9
though it,28
it did,23
not suit,4
suit her,1
her faded,1
faded features,1
features always,1
always played,2
played round,2
round her,14
her lips,15
lips expressed,1
expressed as,1
as in,57
a spoiled,2
spoiled child,1
child a,3
a continual,4
continual consciousness,1
consciousness of,37
of her,339
her charming,6
charming defect,1
defect which,1
which she,93
she neither,2
neither wished,2
wished nor,1
nor could,6
could nor,2
nor considered,1
considered it,20
it necessary,26
necessary to,66
to correct,1
correct in,1
the midst,34
midst of,33
of a,593
a conversation,12
conversation on,2
on political,1
political matters,1
matters anna,1
pavlovna burst,1
burst out,10
out oh,1
oh don,6
t speak,12
speak to,42
to me,191
me of,23
of austria,9
austria perhaps,1
perhaps i,13
i don,206
t understand,52
understand things,1
things but,4
but austria,1
austria never,1
never has,1
has wished,1
wished and,4
and does,10
does not,97
not wish,43
wish for,9
for war,6
war she,2
she is,100
is betraying,1
betraying us,2
us russia,1
russia alone,1
alone must,2
must save,1
save europe,2
europe our,1
our gracious,1
gracious sovereign,4
sovereign recognizes,1
recognizes his,2
his high,3
high vocation,1
and will,36
will be,162
be true,8
true to,3
to it,70
it that,48
that is,237
is the,236
the one,91
one thing,45
thing i,14
have faith,3
faith in,10
in our,34
our good,3
good and,28
and wonderful,2
wonderful sovereign,1
sovereign has,2
has to,20
to perform,11
perform the,2
the noblest,1
noblest role,1
role on,1
on earth,9
earth and,5
and he,459
is so,54
so virtuous,1
virtuous and,1
and noble,5
noble that,1
that god,11
god will,7
will not,54
not forsake,1
forsake him,1
him he,196
he will,52
will fulfill,1
fulfill his,3
his vocation,2
and crush,2
crush the,3
the hydra,1
hydra of,1
of revolution,1
revolution which,1
which has,11
has become,13
become more,5
more terrible,5
terrible than,1
than ever,29
ever in,4
the person,11
person of,2
of this,168
this murderer,1
murderer and,1
and villain,1
villain we,2
we alone,1
must avenge,1
avenge the,2
the blood,23
blood of,4
the just,2
just one,8
one whom,2
whom i,15
i ask,24
ask you,26
you can,61
can we,11
we rely,1
rely on,2
on england,1
england with,1
with her,254
her commercial,1
commercial spirit,1
spirit will,1
not and,36
and cannot,9
cannot understand,5
understand the,32
the emperor,579
emperor alexander,44
alexander s,20
s loftiness,1
loftiness of,2
of soul,8
soul she,5
she has,37
has refused,2
refused to,8
to evacuate,1
evacuate malta,1
malta she,1
she wanted,13
