,Count
at braunau,7
braunau buonaparte,1
himself just,1
just listen,3
the fool,4
fool what,2
the prussians,4
prussians are,2
are up,1
in arms,3
arms now,1
now the,35
the austrians,14
austrians you,1
see are,1
are putting,1
putting them,1
them down,7
down when,3
war with,15
with buonaparte,1
buonaparte will,1
will begin,3
begin and,1
says buonaparte,1
in braunau,1
braunau shows,1
shows you,1
re a,13
fool you,1
you d,17
better listen,2
listen more,1
more carefully,3
carefully what,1
what devils,1
devils these,2
these quartermasters,1
quartermasters are,1
are see,1
the fifth,14
fifth company,5
company is,1
is turning,1
turning into,1
village already,1
already they,1
their buckwheat,1
buckwheat cooked,1
cooked before,1
we reach,3
reach our,2
our quarters,1
quarters give,1
a biscuit,5
biscuit you,1
devil and,3
me tobacco,1
tobacco yesterday,1
yesterday that,1
just it,4
it friend,1
friend ah,1
ah well,4
well never,7
mind here,1
here you,7
are they,27
might call,3
call a,1
a halt,3
halt here,2
here or,2
or we,4
do another,1
four miles,4
miles without,1
without eating,2
eating wasn,1
wasn t,10
it fine,3
when those,1
those germans,1
germans gave,1
gave us,2
us lifts,1
lifts you,1
just sit,1
sit still,3
still and,6
are drawn,1
drawn along,1
along and,3
here friend,1
quite beggarly,1
beggarly there,1
there they,17
be poles,1
poles all,1
all under,1
russian crown,1
crown but,1
but here,13
here they,4
all regular,1
regular germans,1
germans singers,1
singers to,1
front came,2
s order,8
the different,12
different ranks,1
ranks some,1
men ran,2
front a,1
a drummer,2
drummer their,1
their leader,4
leader turned,1
round facing,1
facing the,6
the singers,2
singers and,2
and flourishing,7
flourishing his,10
arm began,1
began a,6
long drawn,10
out soldiers,1
soldiers song,1
song commencing,1
commencing with,1
words morning,1
morning dawned,1
dawned the,2
the sun,51
sun was,4
was rising,2
and concluding,1
concluding on,1
then brothers,1
brothers on,1
glory led,1
by father,2
father kamenski,2
kamenski this,1
this song,1
song had,1
been composed,1
composed in,2
turkish campaign,1
campaign and,18
being sung,1
sung in,1
in austria,5
austria the,2
only change,1
change being,1
being that,4
words father,1
kamenski were,1
father kutuzov,1
kutuzov having,3
having jerked,1
jerked out,1
out these,3
last words,10
words as,7
as soldiers,3
soldiers do,2
if flinging,1
flinging something,1
ground the,5
the drummer,7
drummer a,1
a lean,2
lean handsome,1
handsome soldier,1
soldier of,3
of forty,9
forty looked,1
and screwed,2
then having,3
having satisfied,1
satisfied himself,2
all eyes,10
raised both,1
both arms,2
if carefully,1
carefully lifting,1
lifting some,1
some invisible,3
invisible but,1
but precious,1
precious object,1
object above,1
holding it,4
it there,13
some seconds,8
seconds suddenly,1
suddenly flung,1
flung it,5
began oh,1
my bower,3
bower oh,2
bower new,1
new chimed,1
twenty voices,2
the castanet,1
castanet player,1
player in,1
the burden,2
burden of,5
equipment rushed,1
front and,23
walking backwards,2
backwards before,1
company jerked,1
jerked his,5
and flourished,1
flourished his,3
his castanets,1
castanets as,1
if threatening,2
threatening someone,1
someone the,4
soldiers swinging,1
swinging their,1
their arms,15
and keeping,4
keeping time,3
time spontaneously,1
spontaneously marched,1
marched with,2
with long,7
long steps,1
steps behind,2
of wheels,7
wheels the,4
the creaking,5
creaking of,4
of springs,1
the tramp,7
tramp of,10
of horses,13
horses hoofs,5
hoofs were,1
heard kutuzov,1
suite were,4
were returning,2
town the,5
chief made,1
sign that,6
should continue,2
continue to,3
to march,6
march at,1
ease and,5
suite showed,1
showed pleasure,1
the singing,4
singing and,4
the dancing,10
dancing soldier,1
soldier and,11
the gay,3
gay and,5
and smartly,2
smartly marching,1
marching men,1
second file,1
file from,1
right flank,23
flank beside,1
beside which,4
carriage passed,1
company a,5
blue eyed,2
eyed soldier,1
soldier involuntarily,1
involuntarily attracted,1
attracted notice,1
notice it,7
dolokhov marching,1
marching with,2
particular grace,1
grace and,1
and boldness,2
boldness in,2
the song,9
song and,4
those driving,1
driving past,3
past as,3
he pitied,5
pitied all,1
moment marching,1
hussar cornet,2
cornet of,1
s suite,10
suite who,6
had mimicked,1
mimicked the,3
commander fell,1
and rode,36
rode up,55
to dolokhov,17
dolokhov hussar,1
cornet zherkov,1
zherkov had,3
had at,13
petersburg belonged,1
belonged to,17
the wild,2
wild set,1
set led,1
by dolokhov,2
dolokhov zherkov,1
met dolokhov,1
dolokhov abroad,1
abroad as,1
private and,3
seen fit,1
fit to,3
that kutuzov,26
kutuzov had,22
the gentleman,6
gentleman ranker,2
ranker he,1
he addressed,6
the cordiality,1
cordiality of,1
old friend,7
friend my,2
fellow how,2
he through,1
singing making,1
horse keep,1
keep pace,4
pace with,4
company how,1
how am,9
i dolokhov,1
dolokhov answered,2
answered coldly,1
coldly i,1
the lively,1
lively song,1
song gave,1
a special,26
special flavor,1
flavor to,1
of free,15
easy gaiety,1
gaiety with,1
which zherkov,1
zherkov spoke,1
spoke and,3
the intentional,1
intentional coldness,1
coldness of,2
s reply,2
the officers,91
officers inquired,1
inquired zherkov,1
zherkov all,1
right they,3
good fellows,2
fellows and,4
how have,5
you wriggled,1
wriggled onto,1
the staff,84
staff i,2
was attached,3
attached i,1
m on,1
on duty,30
duty both,1
silent she,3
she let,6
the hawk,1
hawk fly,1
fly upward,1
upward from,1
wide right,1
right sleeve,1
sleeve went,1
went the,5
song arousing,1
arousing an,1
an involuntary,3
involuntary sensation,1
of courage,1
courage and,6
and cheerfulness,1
cheerfulness their,1
their conversation,10
conversation would,2
would probably,10
probably have,4
been different,4
different but,3
effect of,8
that song,2
song is,1
that austrians,1
austrians have,1
been beaten,5
beaten asked,1
asked dolokhov,4
devil only,3
knows they,2
glad answered,2
answered dolokhov,1
dolokhov briefly,1
clearly as,2
song demanded,1
demanded i,1
say come,2
come round,1
round some,1
some evening,1
a game,11
game of,13
of faro,1
faro said,1
said zherkov,4
zherkov why,1
why have,12
much money,2
money do,1
ve sworn,1
sworn not,1
to i,8
t drink,2
drink and,4
t play,4
play till,1
get reinstated,1
reinstated well,1
only till,1
first engagement,1
engagement we,1
shall see,13
see they,2
again silent,2
silent come,1
come if,4
need anything,2
can at,4
least be,2
of use,7
use on,1
staff dolokhov,1
dolokhov smiled,2
smiled don,1
t trouble,4
trouble if,1
anything i,4
t beg,1
beg i,2
mind i,3
only good,2
bye good,2
good health,1
health it,1
long long,2
my native,1
native land,5
land zherkov,1
zherkov touched,1
horse with,17
the spurs,2
spurs it,1
it pranced,1
pranced excitedly,1
excitedly from,1
from foot,1
foot to,4
to foot,3
foot uncertain,1
uncertain with,1
start then,1
then settled,1
down galloped,1
galloped past,4
past the,27
carriage still,1
still keeping,2
song chapter,1
iii on,3
on returning,14
returning from,10
the review,13
review kutuzov,1
kutuzov took,2
general into,1
his private,2
private room,5
and calling,4
calling his,1
his adjutant,14
adjutant asked,2
some papers,6
papers relating,1
condition of,23
troops on,10
their arrival,6
arrival and,4
the letters,13
letters that,1
ferdinand who,1
the advanced,6
advanced army,1
army prince,2
bolkonski came,1
came into,39
the required,2
required papers,1
papers kutuzov,1
austrian member,1
hofkriegsrath were,1
plan was,5
was spread,3
out ah,2
kutuzov glancing,2
at bolkonski,8
bolkonski as,1
if by,9
this exclamation,1
exclamation he,1
was asking,6
adjutant to,12
wait and,8
french all,3
say general,2
general said,6
pleasant elegance,1
elegance of,1
of expression,4
and intonation,1
intonation that,1
that obliged,1
obliged one,1
each deliberately,1
deliberately spoken,1
word it,7
kutuzov himself,7
himself listened,1
own voice,2
voice all,1
general is,2
matter depended,1
depended on,13
my personal,2
personal wishes,1
wishes the,1
emperor francis,13
francis would,1
been fulfilled,1
fulfilled long,1
ago i,4
should long,4
ago have,5
have joined,2
archduke and,1
me on,10
my honour,1
honour that,1
me personally,1
personally it,2
the supreme,3
supreme command,1
army into,3
hands of,27
a better,8
better informed,1
informed and,1
more skillful,2
skillful general,1
general of,6
whom austria,1
austria has,2
many and,3
to lay,5
this heavy,1
heavy responsibility,1
responsibility but,1
but circumstances,1
circumstances are,1
are sometimes,1
sometimes too,1
too strong,1
strong for,1
us general,1
at liberty,2
liberty not,1
to believe,20
even care,2
care whether,1
do or,2
no grounds,2
grounds for,2
for telling,1
me so,9
whole point,1
point the,3
looked dissatisfied,1
dissatisfied but,1
no option,1
option but,1
reply in,2
tone on,2
contrary he,9
angry tone,2
tone that,5
that contrasted,1
his flattering,1
flattering words,2
words on,2
contrary your,3
excellency s,3
s participation,1
participation in,3
the common,17
common action,4
action is,7
is highly,1
highly valued,2
valued by,1
majesty but,3
present delay,1
delay is,1
is depriving,1
depriving the,1
the splendid,2
splendid russian,1
russian troops,17
troops and,17
and their,69
their commander,5
the laurels,1
laurels they,1
been accustomed,6
to win,5
win in,1
their battles,1
battles he,4
his evidently,1
evidently prearranged,1
prearranged sentence,1
sentence kutuzov,1
kutuzov bowed,1
bowed with,1
my conviction,1
conviction and,3
and judging,1
last letter,7
letter with,1
which his,17
his highness,8
highness the,3
ferdinand has,1
has honored,2
honored me,1
austrian troops,4
troops under,1
the direction,36
direction of,18
so skillful,1
skillful a,1
a leader,2
leader as,1
as general,2
general mack,2
mack have,1
have by,1
now already,2
a decisive,1
decisive victory,1
victory and,9
longer need,2
need our,1
our aid,1
aid said,1
general frowned,2
frowned though,1
definite news,2
austrian defeat,1
defeat there,1
were many,11
many circumstances,1
circumstances confirming,1
confirming the,2
the unfavorable,1
unfavorable rumors,1
rumors that,1
that were,50
were afloat,1
afloat and,1
s suggestion,3
suggestion of,3
austrian victory,1
victory sounded,1
sounded much,1
much like,4
like irony,1
irony but,2
but kutuzov,8
kutuzov went,4
on blandly,1
blandly smiling,1
smiling with,9
to suppose,8
suppose so,1
fact the,4
letter he,9
had received,31
received from,17
from mack,2
mack s,3
army informed,1
informed him,12
a victory,19
and stated,1
stated strategically,1
strategically the,1
very favorable,1
favorable give,1
letter said,1
kutuzov turning,1
please have,1
kutuzov with,15
ironical smile,2
smile about,1
mouth read,1
read to,6
the following,23
following passage,1
passage in,4
in german,11
german from,1
ferdinand s,1
s letter,18
letter we,1
have fully,1
fully concentrated,1
concentrated forces,1
forces of,11
of nearly,1
nearly seventy,1
seventy thousand,1
men with,11
attack and,7
and defeat,1
defeat the,5
the enemy,208
enemy should,1
should he,8
he cross,2
cross the,13
the lech,2
lech also,1
also as,2
are masters,1
masters of,2
of ulm,3
ulm we,1
we cannot,13
cannot be,40
be deprived,3
the advantage,6
advantage of,16
of commanding,1
commanding both,1
the danube,14
danube so,1
that should,5
enemy not,1
not cross,1
lech we,1
we can,35
can cross,1
danube throw,1
throw ourselves,1
ourselves on,2
line of,26
of communications,1
communications recross,1
recross the,1
the river,39
river lower,1
lower down,2
and frustrate,1
frustrate his,1
his intention,16
intention should,1
he try,1
to direct,7
direct his,1
whole force,1
force against,2
against our,5
our faithful,2
faithful ally,1
ally we,1
shall therefore,1
therefore confidently,1
confidently await,1
await the,3
imperial russian,1
army will,1
be fully,2
fully equipped,2
equipped and,1
and shall,8
shall then,1
in conjunction,2
conjunction with,2
easily find,1
prepare for,9
enemy the,2
the fate,22
fate he,1
he deserves,2
deserves kutuzov,1
kutuzov sighed,1
sighed deeply,11
deeply on,1
on finishing,1
finishing this,1
this paragraph,1
paragraph and,1
the member,3
hofkriegsrath mildly,1
mildly and,1
attentively but,1
the wise,2
wise maxim,1
maxim your,1
excellency advising,1
advising one,1
expect the,2
the worst,8
worst said,1
general evidently,1
with jests,1
jests and,3
to business,4
business he,6
he involuntarily,7
involuntarily looked,1
camp excuse,1
me general,3
general interrupted,1
interrupted kutuzov,1
kutuzov also,1
also turning,1
andrew look,1
fellow get,2
get from,3
from kozlovski,1
kozlovski all,1
the reports,14
reports from,1
our scouts,1
scouts here,1
are two,4
two letters,4
letters from,9
count nostitz,2
nostitz and,1
one from,8
are these,5
these he,5
said handing,1
several papers,2
papers make,1
a neat,1
neat memorandum,1
memorandum in,1
french out,2
this showing,1
showing all,1
news we,3
had of,11
the movements,20
austrian army,5
then give,1
excellency prince,4
andrew bowed,1
bowed his,20
head in,20
having understood,2
understood from,3
first not,1
only what,8
also what,2
what kutuzov,3
kutuzov would,4
he gathered,1
gathered up,2
bow to,3
to both,3
both stepped,1
the waiting,5
waiting room,7
room though,2
not much,11
much time,3
passed since,4
since prince,6
left russia,1
changed greatly,2
greatly during,1
during that,15
that period,11
period in,1
his movements,6
movements in,2
walk scarcely,1
scarcely a,5
a trace,5
trace was,1
his former,40
former affected,1
affected languor,1
languor and,1
and indolence,1
indolence he,1
has time,2
the impression,9
impression he,2
he makes,2
makes on,1
on others,5
but is,7
is occupied,3
with agreeable,1
agreeable and,7
interesting work,1
work his,2
expressed more,2
more satisfaction,1
satisfaction with,1
with himself,8
him his,43
and glance,3
glance were,1
were brighter,2
brighter and,3
more attractive,6
attractive kutuzov,1
kutuzov whom,2
had overtaken,3
overtaken in,1
poland had,2
received him,8
very kindly,1
kindly promised,1
promised not,3
him distinguished,1
other adjutants,1
taken him,5
to vienna,4
vienna and,7
and given,9
given him,19
more serious,6
serious commissions,1
commissions from,1
vienna kutuzov,2
kutuzov wrote,2
old comrade,2
comrade prince,1
father your,1
son bids,1
bids fair,1
fair to,1
officer distinguished,1
distinguished by,5
his industry,1
industry firmness,1
and expedition,1
expedition i,1
consider myself,2
myself fortunate,1
fortunate to,1
have such,3
subordinate by,1
by me,7
on kutuzov,7
staff among,2
among his,5
his fellow,10
fellow officers,4
officers and,37
army generally,1
generally prince,1
had as,4
society two,1
two quite,1
quite opposite,1
opposite reputations,1
reputations some,1
some a,1
a minority,3
minority acknowledged,1
acknowledged him,1
be different,5
different from,11
from themselves,1
else expected,1
expected great,1
great things,3
him listened,2
him admired,1
admired and,1
and imitated,1
imitated him,1
them prince,4
was natural,2
pleasant others,1
others the,9
majority disliked,1
disliked him,2
considered him,3
him conceited,1
conceited cold,1
cold and,22
and disagreeable,1
disagreeable but,1
but among,1
among these,8
people prince,2
andrew knew,6
knew how,23
take his,14
his stand,3
stand so,1
they respected,1
even feared,1
feared him,2
him coming,3
room into,2
papers in,2
hand prince,3
comrade the,2
camp on,2
duty kozlovski,1
kozlovski who,2
a book,16
book well,1
asked kozlovski,1
kozlovski i,1
am ordered,1
ordered to,24
to write,19
a memorandum,1
memorandum explaining,1
explaining why,3
not advancing,1
advancing and,1
shoulders any,1
any news,3
news from,6
mack no,1
no if,3
were true,3
beaten news,1
news would,1
come probably,1
probably said,1
andrew moving,2
moving toward,10
outer door,1
that instant,11
instant a,3
tall austrian,1
greatcoat with,2
of maria,2
maria theresa,3
theresa on,1
a black,19
black bandage,1
bandage round,1
evidently just,4
just arrived,6
arrived entered,1
entered quickly,1
quickly slamming,1
slamming the,1
short commander,1
newly arrived,3
arrived general,1
general speaking,1
speaking quickly,1
quickly with,1
a harsh,3
harsh german,1
accent looking,1
sides and,19
and advancing,2
advancing straight,1
straight toward,4
inner door,1
is engaged,3
engaged said,1
said kozlovski,2
kozlovski going,1
going hurriedly,1
hurriedly up,1
the unknown,15
unknown general,2
and blocking,4
door whom,1
whom shall,2
shall i,15
i announce,1
announce the,2
looked disdainfully,1
disdainfully down,1
at kozlovski,2
rather short,3
short as,2
surprised that,3
anyone should,2
engaged repeated,1
repeated kozlovski,1
kozlovski calmly,1
calmly the,1
lips quivered,4
trembled he,1
a notebook,3
notebook hurriedly,1
hurriedly scribbled,1
scribbled something,1
in pencil,3
pencil tore,1
tore out,3
the leaf,1
leaf gave,1
to kozlovski,3
kozlovski stepped,1
stepped quickly,2
himself into,2
chair gazing,1
if asking,11
asking why,1
they look,3
head stretched,1
stretched his,3
neck as,2
immediately with,2
with affected,1
affected indifference,1
indifference began,1
to hum,1
hum to,1
himself producing,1
producing a,1
a queer,5
queer sound,1
sound which,1
which immediately,1
immediately broke,1
the private,5
room opened,2
kutuzov appeared,1
doorway the,2
the bandaged,1
bandaged head,2
forward as,4
though running,1
running away,11
from some,10
some danger,1
danger and,8
making long,1
long quick,1
quick strides,1
strides with,1
thin legs,3
legs went,3
kutuzov vous,1
vous voyez,1
voyez le,1
le malheureux,1
malheureux mack,1
mack he,1
he uttered,11
uttered in,3
a broken,6
broken voice,3
voice kutuzov,1
face as,22
doorway remained,1
remained perfectly,1
perfectly immobile,1
immobile for,1
moments then,1
then wrinkles,1
wrinkles ran,1
ran over,1
face like,3
a wave,3
wave and,1
forehead became,1
became smooth,4
smooth again,2
head respectfully,3
respectfully closed,1
closed his,24
eyes silently,1
silently let,1
let mack,1
mack enter,1
enter his,7
room before,4
door himself,1
himself behind,1
the report,11
report which,2
been circulated,1
circulated that,2
austrians had,1
beaten and,6
whole army,36
army had,15
had surrendered,3
surrendered at,1
at ulm,7
ulm proved,1
proved to,5
be correct,3
correct within,1
within half,1
hour adjutants,1
adjutants had,5
sent in,2
in various,10
various directions,2
directions with,1
with orders,5
orders which,2
troops who,7
had hitherto,2
hitherto been,2
been inactive,2
inactive would,1
would also,2
also soon,1
enemy prince,1
rare staff,1
staff officers,5
officers whose,1
whose chief,2
chief interest,2
interest lay,1
general progress,4
progress of,13
war when,2
saw mack,1
and heard,23
his disaster,1
disaster he,1
the campaign,56
campaign was,6
was lost,5
lost understood,1
the difficulties,3
difficulties of,3
army s,6
s position,8
position and,24
and vividly,2
vividly imagined,3
imagined what,3
what awaited,4
awaited it,1
part he,3
play involuntarily,1
involuntarily he,4
felt a,32
joyful agitation,1
agitation at,1
humiliation of,2
of arrogant,1
arrogant austria,1
might perhaps,5
perhaps see,1
first russian,1
russian encounter,1
encounter with,5
french since,1
since suvorov,1
suvorov met,1
met them,4
he feared,6
feared that,4
s genius,2
genius might,1
might outweigh,1
outweigh all,1
courage of,3
time could,3
not admit,11
admit the,8
the idea,25
his hero,6
hero being,1
being disgraced,1
disgraced excited,1
excited and,12
and irritated,3
irritated by,1
these thoughts,7
thoughts prince,1
went toward,4
wrote every,2
day in,16
the corridor,18
corridor he,1
he met,20
met nesvitski,2
nesvitski with,4
he shared,2
shared a,1
wag zherkov,2
zherkov they,2
were as,13
usual laughing,1
laughing why,1
so glum,1
glum asked,1
asked nesvitski,3
nesvitski noticing,1
noticing prince,2
s pale,4
pale face,9
and glittering,5
eyes there,2
be gay,1
gay about,1
about answered,1
answered bolkonski,1
bolkonski just,1
as prince,14
nesvitski and,5
and zherkov,4
zherkov there,2
there came,6
came toward,2
toward them,8
them from,17
corridor strauch,1
strauch an,1
general who,22
who on,11
staff in,3
in charge,10
charge of,11
the provisioning,1
provisioning of,1
hofkriegsrath who,1
previous evening,4
evening there,4
was room,1
room enough,1
enough in,3
wide corridor,1
corridor for,1
generals to,2
pass the,7
three officers,5
officers quite,1
quite easily,1
easily but,1
but zherkov,1
zherkov pushing,1
pushing nesvitski,1
nesvitski aside,1
aside with,2
a breathless,2
breathless voice,1
voice they,1
re coming,4
coming they,2
coming stand,1
stand aside,2
aside make,1
way please,2
please make,1
generals were,4
were passing,11
passing by,4
by looking,3
looking as,3
avoid embarrassing,1
embarrassing attentions,1
attentions on,1
there suddenly,2
suddenly appeared,7
a stupid,8
stupid smile,3
of glee,1
glee which,1
suppress your,1
german stepping,1
stepping forward,1
honor to,15
congratulate you,6
and scraped,1
scraped first,1
one foot,8
other awkwardly,1
awkwardly like,2
a dancing,1
dancing lesson,1
lesson the,1
hofkriegsrath looked,1
him severely,2
severely but,2
the seriousness,1
seriousness of,1
his stupid,1
but give,3
attention he,4
he screwed,4
eyes showing,1
showing that,7
listening i,1
you general,2
mack has,2
has arrived,4
arrived quite,1
well only,2
little bruised,1
bruised just,1
just here,2
added pointing,2
pointing with,4
a beaming,7
beaming smile,1
smile to,7
frowned turned,1
on gott,1
gott wie,1
wie naiv,1
naiv said,1
he angrily,2
angrily after,1
gone a,6
few steps,15
steps good,1
good god,1
what simplicity,1
simplicity nesvitski,1
laugh threw,1
arms round,6
but bolkonski,1
bolkonski turning,3
turning still,1
still paler,1
paler pushed,1
pushed him,4
to zherkov,2
zherkov the,1
the nervous,1
nervous irritation,1
irritation aroused,1
aroused by,6
of mack,4
mack the,1
his defeat,1
defeat and,4
what lay,7
lay before,9
army found,1
found vent,1
vent in,1
in anger,1
anger at,2
at zherkov,3
zherkov s,3
s untimely,1
untimely jest,1
jest if,1
you sir,6
sir choose,1
choose to,2
a buffoon,2
buffoon of,2
of yourself,6
said sharply,1
sharply with,1
slight trembling,1
trembling of,2
lower jaw,7
jaw i,1
t prevent,2
prevent your,2
your doing,2
doing so,13
you dare,1
dare to,17
play the,8
fool in,1
my presence,2
presence i,4
will teach,4
behave yourself,1
yourself nesvitski,1
zherkov were,1
so surprised,1
surprised by,5
this outburst,3
outburst that,2
they gazed,4
bolkonski silently,1
silently with,4
with wide,14
wide open,22
open eyes,14
matter i,5
only congratulated,1
congratulated them,1
zherkov i,1
not jesting,2
jesting with,1
please be,5
be silent,4
silent cried,1
cried bolkonski,2
bolkonski and,10
taking nesvitski,1
nesvitski s,5
left zherkov,1
zherkov who,2
come what,4
matter old,1
old fellow,16
said nesvitski,12
nesvitski trying,1
to soothe,2
soothe him,2
matter exclaimed,1
exclaimed prince,3
andrew standing,1
standing still,3
his excitement,6
excitement don,1
that either,9
either we,1
are officers,2
officers serving,1
serving our,1
our tsar,1
tsar and,10
our country,4
country rejoicing,1
rejoicing in,3
the successes,1
successes and,1
and grieving,1
grieving at,1
the misfortunes,4
misfortunes of,2
our common,3
common cause,1
cause or,4
are merely,3
merely lackeys,1
lackeys who,2
who care,1
care nothing,1
master s,13
s business,5
business quarante,1
quarante mille,1
mille hommes,1
hommes massacres,1
massacres et,1
et l,1
l armee,2
armee de,1
de nos,1
nos allies,1
allies detruite,1
detruite et,1
et vous,2
vous trouvez,1
trouvez la,1
la le,1
le mot,2
mot pour,1
pour rire,1
rire he,1
if strengthening,1
strengthening his,1
his views,10
views by,1
this french,3
french sentence,1
sentence c,1
est bien,1
bien pour,1
pour un,1
un garcon,1
garcon de,1
de rien,1
rien comme,1
comme cet,1
cet individu,1
individu dont,1
dont vous,1
vous avez,1
avez fait,1
fait un,1
un ami,1
ami mais,1
mais pas,1
pas pour,2
pour vous,2
vous pas,1
vous only,1
a hobbledehoy,1
hobbledehoy could,1
could amuse,1
amuse himself,3
this way,31
russian but,4
but pronouncing,1
accent having,1
having noticed,4
that zherkov,1
zherkov could,1
could still,4
still hear,1
hear him,12
him forty,2
men massacred,1
massacred and,1
our allies,2
allies destroyed,1
you find,3
find that,8
a cause,11
cause for,9
for jesting,1
jesting it,1
that good,3
nothing fellow,1
fellow of,1
whom you,9
waited a,3
the cornet,3
cornet would,1
would answer,2
corridor chapter,1
iv the,4
hussars were,6
were stationed,13
stationed two,1
two miles,6
from braunau,1
braunau the,1
the squadron,27
squadron in,3
which nicholas,8
rostov served,2
served as,4
cadet was,3
was quartered,3
quartered in,2
german village,2
village of,30
of salzeneck,1
salzeneck the,1
best quarters,1
quarters in,1
village were,1
were assigned,2
to cavalry,1
cavalry captain,2
captain denisov,1
denisov the,6
squadron commander,7
commander known,1
known throughout,1
throughout the,6
whole cavalry,1
cavalry division,1
division as,1
as vaska,2
vaska denisov,7
denisov cadet,1
cadet rostov,2
rostov ever,1
overtaken the,1
commander on,3
october the,3
day when,13
when all,13
was astir,1
astir at,1
at headquarters,14
headquarters over,1
s defeat,1
the camp,13
camp life,2
officers of,11
this squadron,1
squadron was,3
was proceeding,3
proceeding as,1
usual denisov,1
denisov who,21
losing at,1
at cards,4
cards all,1
yet come,4
come home,3
home when,2
when rostov,11
rostov rode,9
rode back,6
back early,3
early in,11
morning from,1
a foraging,1
foraging expedition,1
expedition rostov,1
rostov in,18
his cadet,1
cadet uniform,1
uniform with,10
jerk to,1
horse rode,4
porch swung,1
swung his,3
his leg,13
leg over,2
saddle with,3
a supple,4
supple youthful,1
youthful movement,2
movement stood,1
stood for,2
moment in,7
stirrup as,1
if loathe,1
loathe to,1
to part,8
part from,6
horse and,46
last sprang,1
sprang down,1
his orderly,5
orderly ah,1
ah bondarenko,1
bondarenko dear,1
hussar who,4
who rushed,1
rushed up,1
up headlong,1
headlong to,1
horse walk,1
walk him,2
down my,2
fellow he,15
that gay,2
gay brotherly,2
brotherly cordiality,1
cordiality which,1
which goodhearted,1
goodhearted young,1
people show,2
show to,1
everyone when,1
happy yes,2
yes your,9
excellency answered,4
the ukrainian,1
ukrainian gaily,1
gaily tossing,1
tossing his,1
head mind,1
mind walk,1
down well,2
well another,1
another hussar,1
hussar also,1
also rushed,1
rushed toward,5
but bondarenko,1
bondarenko had,1
already thrown,1
thrown the,1
the reins,12
reins of,2
the snaffle,1
snaffle bridle,1
bridle over,1
horse s,15
was liberal,1
liberal with,1
his tips,1
tips and,1
it paid,1
paid to,5
him rostov,13
rostov patted,1
patted the,2
s neck,5
then his,9
his flank,2
flank and,11
and lingered,1
lingered for,2
moment splendid,1
splendid what,2
a horse,28
horse he,14
be he,16
thought with,2
saber his,1
spurs jingling,2
jingling he,1
he ran,19
ran up,20
the steps,18
porch his,1
his landlord,1
landlord who,1
a waistcoat,2
waistcoat and,3
a pointed,1
pointed cap,1
cap pitchfork,1
pitchfork in,1
was clearing,4
clearing manure,1
manure from,1
the cowhouse,1
cowhouse looked,1
face immediately,2
immediately brightened,1
brightened on,1
on seeing,36
seeing rostov,4
rostov schon,1
schon gut,2
gut morgen,2
morgen schon,1
morgen he,1
said winking,1
winking with,1
smile evidently,3
to greet,5
greet the,3
good morning,7
morning a,4
morning schon,1
schon fleissig,1
fleissig said,1
said rostov,50
rostov with,16
same gay,1
brotherly smile,1
which did,9
not leave,19
face hoch,1
hoch oestreicher,1
oestreicher hoch,1
hoch russen,1
russen kaiser,1
kaiser alexander,1
alexander hoch,1
hoch said,1
he quoting,1
quoting words,1
words often,1
often repeated,2
repeated by,2
german landlord,1
landlord busy,1
busy already,1
already hurrah,1
hurrah for,5
austrians hurrah,1
the russians,95
russians hurrah,1
for emperor,1
alexander the,6
german laughed,1
laughed came,1
the cowshed,1
cowshed pulled,1
pulled off,3
cap and,19
and waving,5
waving it,1
it above,2
head cried,1
cried und,1
und die,1
die ganze,2
ganze welt,2
welt hoch,1
hoch and,1
and hurrah,1
world rostov,1
rostov waved,1
cap above,1
head like,4
german and,8
and cried,5
cried laughing,1
laughing und,1
und vivat,1
vivat die,1
welt though,1
though neither,1
german cleaning,1
cleaning his,1
his cowshed,2
cowshed nor,1
nor rostov,1
rostov back,1
his platoon,1
platoon from,1
from foraging,1
foraging for,1
for hay,4
hay had,1
had any,11
any reason,7
for rejoicing,2
rejoicing they,1
other with,4
with joyful,3
joyful delight,1
delight and,3
and brotherly,1
brotherly love,3
love wagged,1
wagged their,1
heads in,3
their mutual,3
mutual affection,1
and parted,2
parted smiling,1
smiling the,2
german returning,1
cowshed and,1
and rostov,27
rostov going,3
the cottage,2
cottage he,1
he occupied,2
with denisov,11
denisov what,2
your master,2
master he,3
asked lavrushka,1
lavrushka denisov,3
denisov s,58
s orderly,7
orderly whom,1
whom all,2
regiment knew,1
knew for,4
a rogue,1
rogue hasn,1
t been,4
in since,1
evening must,1
losing answered,1
answered lavrushka,1
lavrushka i,2
know by,3
now if,5
he wins,1
wins he,1
he comes,6
comes back,3
early to,3
to brag,1
brag about,1
he stays,1
stays out,1
out till,1
morning it,3
it means,9
means he,4
s lost,2
come back,16
a rage,3
rage will,1
have coffee,1
coffee yes,1
bring some,2
some ten,6
ten minutes,10
later lavrushka,2
lavrushka brought,1
the coffee,2
coffee he,1
coming said,2
now for,12
for trouble,1
trouble rostov,1
rostov looked,10
saw denisov,2
denisov coming,1
coming home,2
home denisov,1
denisov was,20
small man,2
a red,22
red face,4
face sparkling,1
sparkling black,2
black eyes,16
and black,6
black tousled,1
tousled mustache,1
mustache and,15
hair he,2
wore an,5
an unfastened,1
unfastened cloak,1
cloak wide,1
wide breeches,1
breeches hanging,1
in creases,1
creases and,1
